key,enabled,identity,password,username
user-account-fundraiser-02,true,"UserIdentity{name: 'Fundraiser2', surname: 'fundraiser', email: 'fundraiser2@acme.com'}",fundraiser2,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'Fundraiser3', surname: 'fundraiser', email: 'fundraiser3@acme.com'}",fundraiser3,fundraiser3
user-account-fundraiser-04,true,"UserIdentity{name: 'Fundraiser4', surname: 'fundraiser', email: 'fundraiser4@acme.com'}",fundraiser4,fundraiser4
user-account-fundraiser-05,true,"UserIdentity{name: 'Fundraiser5', surname: 'fundraiser', email: 'fundraiser5@acme.com'}",fundraiser5,fundraiser5
user-account-fundraiser-06,true,"UserIdentity{name: 'Fundraiser6', surname: 'fundraiser', email: 'fundraiser6@acme.com'}",fundraiser6,fundraiser6
user-account-fundraiser-07,true,"UserIdentity{name: 'Fundraiser7', surname: 'fundraiser', email: 'fundraiser7@acme.com'}",fundraiser7,fundraiser7
user-account-fundraiser-08,true,"UserIdentity{name: 'Fundraiser8', surname: 'fundraiser', email: 'fundraiser8@acme.com'}",fundraiser8,fundraiser8
user-account-fundraiser-09,true,"UserIdentity{name: 'Fundraiser9', surname: 'fundraiser', email: 'fundraiser9@acme.com'}",fundraiser9,fundraiser9
user-account-fundraiser-10,true,"UserIdentity{name: 'Fundraiser10', surname: 'fundraiser', email: 'fundraiser10@acme.com'}",fundraiser10,fundraiser10
#inventor
user-account-inventor-01,true,"UserIdentity{name: 'Inventor1', surname: 'Acme', email: 'inventor1@acme.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Inventor2', surname: 'Acme', email: 'inventor2@acme.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Inventor3', surname: 'Acme', email: 'inventor3@acme.com'}",inventor3,inventor3
user-account-inventor-04,true,"UserIdentity{name: 'Inventor4', surname: 'Acme', email: 'inventor4@acme.com'}",inventor4,inventor4
user-account-inventor-05,true,"UserIdentity{name: 'Inventor5', surname: 'Acme', email: 'inventor5@acme.com'}",inventor5,inventor5
user-account-inventor-06,true,"UserIdentity{name: 'Inventor6', surname: 'Acme', email: 'inventor6@acme.com'}",inventor6,inventor6
user-account-inventor-07,true,"UserIdentity{name: 'Inventor7', surname: 'Acme', email: 'inventor7@acme.com'}",inventor7,inventor7       
user-account-inventor-08,true,"UserIdentity{name: 'Inventor8', surname: 'Acme', email: 'inventor8@acme.com'}",inventor8,inventor8
user-account-inventor-09,true,"UserIdentity{name: 'Inventor9', surname: 'Acme', email: 'inventor9@acme.com'}",inventor9,inventor9
user-account-inventor-10,true,"UserIdentity{name: 'Inventor10', surname: 'Acme', email: 'inventor10@acme.com'}",inventor10,inventor10
#spokesperson
user-account-spokesperson-01,true,"UserIdentity{name: 'Spokesperson1', surname: 'spokesperson', email: 'spokesperson1@acme.com'}",spokesperson1,spokesperson1
user-account-spokesperson-02,true,"UserIdentity{name: 'Spokesperson2', surname: 'spokesperson', email: 'spokesperson2@acme.com'}",spokesperson2,spokesperson2
user-account-spokesperson-03,true,"UserIdentity{name: 'Spokesperson3', surname: 'spokesperson', email: 'spokesperson3@acme.com'}",spokesperson3,spokesperson3
user-account-spokesperson-04,true,"UserIdentity{name: 'Spokesperson4', surname: 'spokesperson', email: 'spokesperson4@acme.com'}",spokesperson4,spokesperson4
user-account-spokesperson-05,true,"UserIdentity{name: 'Spokesperson5', surname: 'spokesperson', email: 'spokesperson5@acme.com'}",spokesperson5,spokesperson5
user-account-spokesperson-06,true,"UserIdentity{name: 'Spokesperson6', surname: 'spokesperson', email: 'spokesperson6@acme.com'}",spokesperson6,spokesperson6
user-account-spokesperson-07,true,"UserIdentity{name: 'Spokesperson7', surname: 'spokesperson', email: 'spokesperson7@acme.com'}",spokesperson7,spokesperson7
user-account-spokesperson-08,true,"UserIdentity{name: 'Spokesperson8', surname: 'spokesperson', email: 'spokesperson8@acme.com'}",spokesperson8,spokesperson8
user-account-spokesperson-09,true,"UserIdentity{name: 'Spokesperson9', surname: 'spokesperson', email: 'spokesperson9@acme.com'}",spokesperson9,spokesperson9
user-account-spokesperson-10,true,"UserIdentity{name: 'Spokesperson10', surname: 'spokesperson', email: 'spokesperson10@acme.com'}",spokesperson10,spokesperson10
# auditor
user-account-auditor-01,true,"UserIdentity{name: 'Auditor1', surname: 'Acme', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Auditor2', surname: 'Acme', email: 'auditor2@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Auditor3', surname: 'Acme', email: 'auditor3@acme.com'}",auditor3,auditor3
user-account-auditor-04,true,"UserIdentity{name: 'Auditor4', surname: 'Acme', email: 'auditor4@acme.com'}",auditor4,auditor4
user-account-auditor-05,true,"UserIdentity{name: 'Auditor5', surname: 'Acme', email: 'auditor5@acme.com'}",auditor5,auditor5
user-account-auditor-06,true,"UserIdentity{name: 'Auditor6', surname: 'Acme', email: 'auditor6@acme.com'}",auditor6,auditor6
user-account-auditor-07,true,"UserIdentity{name: 'Auditor7', surname: 'Acme', email: 'auditor7@acme.com'}",auditor7,auditor7
user-account-auditor-08,true,"UserIdentity{name: 'Auditor8', surname: 'Acme', email: 'auditor8@acme.com'}",auditor8,auditor8
user-account-auditor-09,true,"UserIdentity{name: 'Auditor9', surname: 'Acme', email: 'auditor9@acme.com'}",auditor9,auditor9
user-account-auditor-10,true,"UserIdentity{name: 'Auditor10', surname: 'Acme', email: 'auditor10@acme.com'}",auditor10,auditor10
# manager
user-account-manager-01,true,"UserIdentity{name: 'Manager01', surname: 'Acme', email: 'manager01@acme.com'}",manager01,manager01
